episodeid,no_overall,title,season,episode_number,air_date,director
1,1,Welcome to the Hellmouth,1,1,3/10/1997,Charles Martin Smith
2,2,The Harvest,1,2,3/10/1997,John T. Kretchmer
3,3,The Witch,1,3,3/17/1997,Stephen Cragg
4,4,Teacher's Pet,1,4,3/24/1997,Bruce Seth Green
5,5,Never Kill a Boy on the First Date,1,5,3/31/1997,David Semel
6,6,The Pack,1,6,4/7/1997,Bruce Seth Green
7,7,Angel,1,7,4/14/1997,Scott Brazil
8,8,"I, Robot... You, Jane",1,8,4/28/1997,Stephen Posey
9,9,The Puppet Show,1,9,5/5/1997,Ellen S. Pressman
10,10,Nightmares,1,10,5/12/1997,Bruce Seth Green
11,11,"Out of Mind, Out of Sight",1,11,5/19/1997,Reza Badiyi
12,12,Prophecy Girl,1,12,6/2/1997,Joss Whedon
13,13,When She Was Bad,2,1,9/15/1997,Joss Whedon
14,14,Some Assembly Required,2,2,9/22/1997,Bruce Seth Green
15,15,School Hard,2,3,9/29/1997,John T. Kretchmer
16,15,Inca Mummy Girl,2,4,10/6/1997,Ellen S. Pressman
17,17,Reptile Boy,2,5,10/13/1997,David Greenwalt
18,18,Halloween,2,6,10/27/1997,Bruce Seth Green
19,19,Lie to Me,2,7,11/3/1997,Joss Whedon
20,20,The Dark Age,2,8,11/10/1997,Bruce Seth Green
21,21,What's My Line? (Part 1),2,9,11/17/1997,David Solomon
22,22,What's My Line? (Part 2),2,9,11/24/1997,David Solomon
23,23,Ted,2,10,12/8/1997,David Semel
24,24,Bad Eggs,2,11,1/12/1998,Bruce Seth Green
25,25,Surprise,2,12,1/19/1998,David Greenwalt
26,26,Innocence,2,13,1/20/1998,Michael Lange
27,27,Phases,2,14,1/27/1998,Joss Whedon
28,28,"Bewitched, Bothered and Bewildered",2,15,2/10/1998,Bruce Seth Green
29,29,Passion,2,16,2/24/1998,James A. Contner
30,30,Killed by Death,2,17,3/3/1998,Michael Gershman
31,31,I Only Have Eyes for You,2,18,4/28/1998,Deran Sarafian
32,32,Go Fish,2,19,5/5/1998,"James Whitmore, Jr."
33,33,Becoming (Part 1),2,20,5/12/1998,David Semel
34,34,Becoming (Part 2),2,21,5/19/1998,Joss Whedon
35,35,Anne,3,1,9/29/1998,Joss Whedon
36,36,Dead Man's Party,3,2,10/6/1998,"James Whitmore, Jr."
37,36,"Faith, Hope & Trick",3,3,10/13/1998,James A. Contner
38,38,Beauty and the Beasts,3,4,10/20/1998,"James Whitmore, Jr."
39,39,Homecoming,3,5,11/3/1998,David Greenwalt
40,40,Band Candy,3,6,11/10/1998,Michael Lange
41,41,Revelations,3,7,11/17/1998,James A. Contner
42,42,Lovers Walk,3,8,11/24/1998,David Semel
43,43,The Wish,3,9,12/8/1998,David Greenwalt
44,44,Amends,3,10,12/15/1998,Joss Whedon
45,45,Gingerbread,3,11,1/12/1999,"James Whitmore, Jr."
46,46,Helpless,3,12,1/19/1999,James A. Contner
47,47,The Zeppo,3,13,1/26/1999,"James Whitmore, Jr."
48,48,Bad Girls,3,14,2/9/1999,Michael Lange
49,49,Consequences,3,15,2/16/1999,Michael Gershman
50,50,Doppelgangland,3,16,2/23/1999,Joss Whedon
51,51,Enemies,3,17,3/16/1999,David Grossman
52,52,Earshot,3,18,9/21/1999,Regis Kimble
53,53,Choices,3,19,5/4/1999,James A. Contner
54,54,The Prom,3,20,5/11/1999,David Solomon
55,55,Graduation Day (Part 1),3,21,5/18/1999,Joss Whedon
56,56,Graduation Day (Part 2),3,22,7/13/1999,Joss Whedon
57,57,The Freshman,4,1,10/5/1999,Joss Whedon
58,58,Living Conditions,4,2,10/12/1999,David Grossman
59,59,The Harsh Light of Day,4,3,10/19/1999,James A. Contner
60,60,"Fear, Itself",4,4,10/26/1999,Tucker Gates
61,61,Beer Bad,4,5,11/2/1999,David Solomon
62,62,Wild at Heart,4,6,11/9/1999,David Grossman
63,63,The Initiative,4,7,11/16/1999,James A. Contner
64,64,Pangs,4,8,11/23/1999,Michael Lange
65,65,Something Blue,4,9,11/30/1999,Nick Marck
66,66,Hush,4,10,12/14/1999,Joss Whedon
67,67,Doomed,4,11,1/18/2000,James A. Contner
68,68,A New Man,4,12,1/25/2000,Michael Gershman
69,69,The I in Team,4,13,2/8/2000,James A. Contner
70,70,Goodbye Iowa,4,14,2/15/2000,David Solomon
71,71,This Year's Girl,4,15,2/22/2000,Michael Gershman
72,72,Who Are You?,4,16,2/29/2000,Joss Whedon
73,73,Superstar,4,17,4/4/2000,David Grossman
74,74,Where the Wild Things Are,4,18,4/25/2000,David Solomon
75,75,New Moon Rising,4,19,5/2/2000,James A. Contner
76,76,The Yoko Factor,4,20,5/9/2000,David Grossman
77,77,Primeval,4,21,5/16/2000,James A. Contner
78,78,Restless,4,22,5/23/2000,Joss Whedon
79,79,Buffy vs. Dracula,5,1,9/26/2000,David Solomon
80,80,Real Me,5,2,10/3/2000,David Grossman
81,81,The Replacement,5,3,10/10/2000,James A. Contner
82,82,Out of My Mind,5,4,10/17/2000,David Grossman
83,83,No Place Like Home,5,5,10/24/2000,David Solomon
84,84,Family,5,6,11/7/2000,Joss Whedon
85,85,Fool for Love,5,7,11/14/2000,Nick Marck
86,86,Shadow,5,8,11/21/2000,Dan Attias
87,87,Listening to Fear,5,9,11/28/2000,David Solomon
88,88,Into the Woods,5,10,12/19/2000,Marti Noxon
89,89,Triangle,5,11,1/9/2001,Christopher Hibler
90,90,Checkpoint,5,12,1/23/2001,Nick Marck
91,91,Blood Ties,5,13,2/6/2001,Michael Gershman
92,92,Crush,5,14,2/13/2001,Dan Attias
93,93,I Was Made to Love You,5,15,2/20/2001,James A. Contner
94,94,The Body,5,16,2/27/2001,Joss Whedon
95,95,Forever,5,17,4/17/2001,Marti Noxon
96,96,Intervention,5,18,4/24/2001,Michael Gershman
97,97,Tough Love,5,19,5/1/2001,David Grossman
98,98,Spiral,5,20,5/8/2001,James A. Contner
99,99,The Weight of the World,5,21,5/15/2001,David Solomon
100,100,The Gift,5,22,5/22/2001,Joss Whedon
101,101,Bargaining (Part 1),6,1,10/2/2001,David Grossman
102,102,Bargaining (Part 2),6,2,10/2/2001,David Grossman
103,103,After Life,6,3,10/9/2001,David Solomon
104,104,Flooded,6,4,10/16/2001,Douglas Petrie
105,105,Life Serial,6,5,10/23/2001,Nick Marck
106,106,All the Way,6,6,10/30/2001,David Solomon
107,107,"Once More, with Feeling",6,7,11/6/2001,Joss Whedon
108,108,Tabula Rasa,6,8,11/13/2001,David Grossman
109,109,Smashed,6,9,11/20/2001,Turi Meyer
110,110,Wrecked,6,10,11/27/2001,David Solomon
111,111,Gone,6,11,1/8/2002,David Fury
112,112,Doublemeat Palace,6,12,1/29/2002,Nick Marck
113,113,Dead Things,6,13,2/5/2002,James A. Contner
114,114,Older and Far Away,6,14,2/12/2002,Michael Gershman
115,115,As You Were,6,15,2/26/2002,Douglas Petrie
116,116,Hell's Bells,6,16,3/5/2002,David Solomon
117,117,Normal Again,6,17,3/12/2002,Rick Rosenthal
118,118,Entropy,6,18,4/30/2002,James A. Contner
119,119,Seeing Red,6,19,5/7/2002,Michael Gershman
120,120,Villains,6,20,5/14/2002,David Solomon
121,121,Two to Go,6,21,5/21/2002,Bill L. Norton
122,122,Grave,6,22,5/21/2002,James A. Contner
123,123,Lessons,7,1,9/24/2002,David Solomon
124,124,Beneath You,7,2,10/1/2002,Nick Marck
125,125,"Same Time, Same Place",7,3,10/8/2002,James A. Contner
126,126,Help,7,4,10/15/2002,Rick Rosenthal
127,127,Selfless,7,5,10/22/2002,David Solomon
128,128,Him,7,6,11/5/2002,Michael Gershman
129,129,Conversations with Dead People,7,7,11/12/2002,Nick Marck
130,130,Sleeper,7,8,11/19/2002,Alan J. Levi
131,131,Never Leave Me,7,9,11/26/2002,David Solomon
132,132,Bring on the Night,7,10,12/17/2002,David Grossman
133,133,Showtime,7,11,1/7/2003,Michael Grossman
134,134,Potential,7,12,1/21/2003,James A. Contner
135,135,The Killer in Me,7,13,2/4/2003,David Solomon
136,136,First Date,7,14,2/11/2003,David Grossman
137,137,Get It Done,7,15,2/18/2003,Douglas Petrie
138,138,Storyteller,7,16,2/25/2003,Marita Grabiak
139,139,Lies My Parents Told Me,7,17,3/25/2003,David Fury
140,140,Dirty Girls,7,18,4/15/2003,Michael Gershman
141,141,Empty Places,7,19,4/29/2003,James A. Contner
142,142,Touched,7,20,5/6/2003,David Solomon
143,143,End of Days,7,21,5/13/2003,Marita Grabiak
144,144,Chosen,7,22,5/20/2003,Joss Whedon
