writerID, writer_name        ,,
1,Joss Whedon,,
2,Dana Reston,,
3,David Greenwalt,,
4,Rob Des Hotel,,
5,Dean Batali,,
6,Matt Kiene,,
7,Joe Reinkemeyer,,
8,Ashley Gable,,
9,Thomas A. Swyden,,
10,Ty King,,
11,David Fury,,
12,Elin Hampton,,
13,Matt Kiene,,
14,Joe Reinkemeyer,,
15,Carl Ellsworth,,
16,Howard Gordon,,
17,Marti Noxon,,
18,Jane Espenson,,
19,Douglas Petrie,,
20,Dan Vebber,,
21,Thania St. John,,
22,Tracey Forbes,,
23,Rebecca Rand Kirshner,,
24,Steven S. DeKnight,,
25,Drew Z. Greenberg,,
26,Diego Gutierrez,,
27,Drew Goddard,,
,,,
,,,
,,,
,,,
,,,
,,,
